rank_num,title,rating,comment_num,info,quote,detail_url,poster_path,year,runtime,imdb,director,genre,actors
1,肖申克的救赎 月黑高飞(港)    刺激1995(台),9.7,3285909,"导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
              1994 / 美国 / 犯罪 剧情",希望让人自由。,https://movie.douban.com/subject/1292052/,data/images\肖申克的救赎 月黑高飞_港_    刺激1995_台_.jpg,1994,142分钟,tt0111161,弗兰克·德拉邦特,犯罪 剧情,蒂姆·罗宾斯
2,霸王别姬 再见，我的妾    Farewell My Concubine,9.6,2424344,"导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
              1993 / 中国大陆 中国香港 / 剧情 爱情 同性",风华绝代。,https://movie.douban.com/subject/1291546/,data/images\霸王别姬 再见，我的妾    Farewell My Con.jpg,1993,171分钟,tt0106332,陈凯歌,剧情 爱情 同性,张国荣、张丰毅
3,泰坦尼克号 铁达尼号(港  台),9.5,2499637,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
              1997 / 美国 / 剧情 爱情 灾难",失去的才是永恒的。,https://movie.douban.com/subject/1292722/,data/images\泰坦尼克号 铁达尼号_港  台_.jpg,1997,194分钟,tt0120338,詹姆斯·卡梅隆,剧情 爱情 灾难,莱昂纳多·迪卡普里奥
4,阿甘正传 福雷斯特·冈普,9.5,2431332,"导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...
              1994 / 美国 / 剧情 爱情",一部美国近现代史。,https://movie.douban.com/subject/1292720/,data/images\阿甘正传 福雷斯特·冈普.jpg,1994,142分钟,tt0109830,罗伯特·泽米吉斯,剧情 爱情,汤姆·汉克斯
5,千与千寻 神隐少女(台)    千与千寻的神隐,9.4,2538059,"导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
              2001 / 日本 / 剧情 动画 奇幻",最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/,data/images\千与千寻 神隐少女_台_    千与千寻的神隐.jpg,2001,125分钟,tt0245429,宫崎骏,剧情 动画 奇幻,柊瑠美、入野自由
6,美丽人生 一个快乐的传说(港)    Life Is Beautiful,9.5,1482937,"导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
              1997 / 意大利 / 剧情 喜剧 爱情 战争",最美的谎言。,https://movie.douban.com/subject/1292063/,data/images\美丽人生 一个快乐的传说_港_    Life Is Bea.jpg,1997,116分钟,tt0118799,罗伯托·贝尼尼,剧情 喜剧 爱情 战争,罗伯托·贝尼尼
7,星际穿越 星际启示录(港)    星际效应(台),9.4,2185022,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
              2014 / 美国 英国 加拿大 / 剧情 科幻 冒险",爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,data/images\星际穿越 星际启示录_港_    星际效应_台_.jpg,2014,169分钟,tt0816692,克里斯托弗·诺兰,剧情 科幻 冒险,马修·麦康纳
8,这个杀手不太冷 终极追杀令(台)    杀手莱昂,9.4,2553230,"导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
              1994 / 法国 美国 / 剧情 动作 犯罪",怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,data/images\这个杀手不太冷 终极追杀令_台_    杀手莱昂.jpg,1994,133分钟,tt0110413,吕克·贝松,剧情 动作 犯罪,让·雷诺、娜塔莉·波特曼
9,盗梦空间 潜行凶间(港)    全面启动(台),9.4,2326461,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
              2010 / 美国 英国 / 剧情 科幻 悬疑 冒险",诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,data/images\盗梦空间 潜行凶间_港_    全面启动_台_.jpg,2010,148分钟,tt1375666,克里斯托弗·诺兰,剧情 科幻 悬疑 冒险,莱昂纳多·迪卡普里奥
10,楚门的世界 真人Show(港)    真人戏,9.4,2020345,"导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
              1998 / 美国 / 剧情 科幻",如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,data/images\楚门的世界 真人Show_港_    真人戏.jpg,1998,103分钟,tt0120382,彼得·威尔,剧情 科幻,金·凯瑞、劳拉·琳妮
11,辛德勒的名单 舒特拉的名单(港)    辛德勒名单,9.5,1247693,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
              1993 / 美国 / 剧情 历史 战争",拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,data/images\辛德勒的名单 舒特拉的名单_港_    辛德勒名单.jpg,1993,195分钟,tt0108052,史蒂文·斯皮尔伯格,剧情 历史 战争,连姆·尼森
12,忠犬八公的故事 秋田犬八千(港)    忠犬小八(台),9.4,1543850,"导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
              2009 / 美国 英国 / 剧情",永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,data/images\忠犬八公的故事 秋田犬八千_港_    忠犬小八_台_.jpg,2009,93分钟,tt1028532,莱塞·霍尔斯道姆,剧情,理查·基尔
13,海上钢琴师 声光伴我飞(港)    一九零零的传奇,9.3,1880290,"导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...
              1998 / 意大利 / 剧情 音乐",每个人都要走一条自己坚定了的路，就算是粉身碎骨。,https://movie.douban.com/subject/1292001/,data/images\海上钢琴师 声光伴我飞_港_    一九零零的传奇.jpg,1998,120分钟,tt0120731,朱塞佩·托纳多雷,剧情 音乐,蒂姆·罗斯
