id,rank,title_cn,title_en,rating,rating_count,directors_cast,quote,detail_link,year,duration,genre,imdb_rating,poster_url,poster_path,crawled_at,spider_name
1,25,末代皇帝,/ The Last Emperor,9.3,,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈... 1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,,https://movie.douban.com/subject/1293172/,1987,,"剧情, 传记, 历史",,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.webp,,2026-05-14T20:00:34.556884,douban_top250
2,50,绿皮书,/ Green Book,8.9,,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /... 2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐,,https://movie.douban.com/subject/27060077/,2018,,"剧情, 喜剧, 音乐, 传记",,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.webp,,2026-05-14T20:00:40.054451,douban_top250
3,75,看不见的客人,/ Contratiempo,8.8,,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿... 2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,,https://movie.douban.com/subject/26580232/,2016,,"剧情, 悬疑, 惊悚, 犯罪",,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp,,2026-05-14T20:00:43.881721,douban_top250
4,74,西西里的美丽传说,/ Malèna,8.9,,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ... 2000 / 意大利 美国 / 剧情 战争 情色,,https://movie.douban.com/subject/1292402/,2000,,"剧情, 情色, 战争",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp,,2026-05-14T20:00:43.881675,douban_top250
5,72,哈利·波特与阿兹卡班的囚徒,/ Harry Potter and the Prisoner of Azkaban,9.0,,导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad... 2004 / 英国 美国 / 奇幻 冒险,,https://movie.douban.com/subject/1291544/,2004,,"奇幻, 冒险",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913456870.webp,,2026-05-14T20:00:43.881588,douban_top250
6,73,阿凡达,/ Avatar,8.8,,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ... 2009 / 美国 / 动作 科幻 冒险,,https://movie.douban.com/subject/1652587/,2009,,"动作, 科幻, 冒险",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.webp,,2026-05-14T20:00:43.881632,douban_top250
7,71,音乐之声,/ The Sound of Music,9.1,,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克... 1965 / 美国 / 剧情 传记 爱情 歌舞,,https://movie.douban.com/subject/1294408/,1965,,"剧情, 爱情, 歌舞, 传记",,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp,,2026-05-14T20:00:43.881546,douban_top250
8,70,功夫,,8.9,,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ... 2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻,,https://movie.douban.com/subject/1291543/,2004,,"喜剧, 动作, 犯罪, 奇幻",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp,,2026-05-14T20:00:43.881503,douban_top250
9,69,窃听风暴,/ Das Leben der Anderen,9.2,,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n... 2006 / 德国 / 剧情 悬疑,,https://movie.douban.com/subject/1900841/,2006,,"剧情, 悬疑",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp,,2026-05-14T20:00:43.881455,douban_top250
10,68,两杆大烟枪,"/ Lock, Stock and Two Smoking Barrels",9.1,,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特... 1998 / 英国 / 剧情 喜剧 犯罪,,https://movie.douban.com/subject/1293350/,1998,,"剧情, 喜剧, 犯罪",,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp,,2026-05-14T20:00:43.881408,douban_top250
